symbol,shortName,fundamental_total_score,fundamental_avg_score,fundamental_rating,technical_total_score,technical_avg_score,technical_rating,analysis_text,overall_avg_score,overall_total_score,overall_rating
00713.TW,YUANTA SECURITIES INV TRUST CO ,46,7.666666666666667,B,30,6.0,B,"**[基本面分析] 00713.TW / YUANTA SECURITIES INV TRUST CO **
- ETF_PE: 16.64 => 介於 10~25 的區間 (score=5)
- ETF_Yield: 9.97% => 高於參考值(6)，表現不錯 (score=10)
- totalAssets: 117,195,898,880 => 在 100000000000.0~500000000000.0 的區間 (score=5)
- ETF_Beta3Y: 0.52 => 波動低於市場平均(0.8) (score=6)
- threeYearAverageReturn: 16.22% => 高於參考值(0.1)，表現不錯 (score=10)
- fiveYearAverageReturn: 18.58% => 高於參考值(0.1)，表現不錯 (score=10)

【基本面評級】平均分數 7.7 → 等級 B
- RSI: 52.95（正常範圍） (score=7)
- MACD: 正值（買入信號） (score=8)
- SMA50 < SMA200（死亡交叉，趨勢向下） (score=5)
- ADX: 16.99（趨勢弱） (score=5)
- 成交量趨勢: 減少中（趨勢可能弱化） (score=5)

【技術面評級】平均分數 6.0 → 等級 B",6.833333333333334,76,B
2881.TW,FUBON FINANCIAL HLDG CO LTD,75,6.818181818181818,B,34,6.8,B,"**[基本面分析] 2881.TW / FUBON FINANCIAL HLDG CO LTD**
- PE: 10.94 => 介於 10 ~ 25 的區間 (score=5)
- PB: 1.61 => 介於 1 ~ 5 的區間 (score=5)
- Beta: 0.73 => 明顯低於參考值(0.8)，對投資人相對有利 (score=10)
- ROE: 12.18% => 在 10.00% ~ 20.00% 的合理範圍 (score=5)
- DividendYield: 2.68% => 在 200.00% ~ 600.00% 的合理範圍 (score=5)
- PEG: 資料缺失
- OperatingMargin: 28.97% => 在 10.00% ~ 30.00% 的合理範圍 (score=5)
- DebtToEquity: 66.16 => 介於 50 ~ 100 的區間 (score=5)
- CurrentRatio: 2.24 => 高於參考值(2)，值得肯定 (score=10)
- QuickRatio: 1.93 => 在 1 ~ 2 的合理範圍 (score=5)
- RevenueGrowth: 40.50% => 高於參考值(20.00%)，值得肯定 (score=10)
- EarningsGrowth: 76.00% => 高於參考值(20.00%)，值得肯定 (score=10)

【基本面評級】平均分數 6.8 → 等級 B
- RSI: 58.73（正常範圍） (score=7)
- MACD: 正值（買入信號） (score=8)
- SMA50 > SMA200（黃金交叉，趨勢向上） (score=9)
- ADX: 8.94（趨勢弱） (score=5)
- 成交量趨勢: 減少中（趨勢可能弱化） (score=5)

【技術面評級】平均分數 6.8 → 等級 B",6.809090909090909,109,B
2603.TW,EVERGREEN MARINE CORP(TAIWAN),77,7.0,B,33,6.6,B,"**[基本面分析] 2603.TW / EVERGREEN MARINE CORP(TAIWAN)**
- PE: 3.93 => 明顯低於參考值(10)，對投資人相對有利 (score=10)
- PB: 0.98 => 明顯低於參考值(1)，對投資人相對有利 (score=10)
- Beta: 1.54 => 高於參考值(1.2)，需留意高估風險 (score=2)
- ROE: 15.61% => 在 10.00% ~ 20.00% 的合理範圍 (score=5)
- DividendYield: 4.53% => 在 200.00% ~ 600.00% 的合理範圍 (score=5)
- PEG: 資料缺失
- OperatingMargin: 29.86% => 在 10.00% ~ 30.00% 的合理範圍 (score=5)
- DebtToEquity: 32.45 => 明顯低於參考值(50)，對投資人相對有利 (score=10)
- CurrentRatio: 1.87 => 在 1 ~ 2 的合理範圍 (score=5)
- QuickRatio: 1.73 => 在 1 ~ 2 的合理範圍 (score=5)
- RevenueGrowth: 57.80% => 高於參考值(20.00%)，值得肯定 (score=10)
- EarningsGrowth: 478.50% => 高於參考值(20.00%)，值得肯定 (score=10)

【基本面評級】平均分數 7.0 → 等級 B
- RSI: 37.43（正常範圍） (score=7)
- MACD: 負值（賣出信號） (score=6)
- SMA50 > SMA200（黃金交叉，趨勢向上） (score=9)
- ADX: 28.98（趨勢中等） (score=6)
- 成交量趨勢: 減少中（趨勢可能弱化） (score=5)

【技術面評級】平均分數 6.6 → 等級 B",6.8,110,B
2618.TW,EVA AIRWAYS,70,7.0,B,33,6.6,B,"**[基本面分析] 2618.TW / EVA AIRWAYS**
- PE: 9.73 => 明顯低於參考值(10)，對投資人相對有利 (score=10)
- PB: 2.21 => 介於 1 ~ 5 的區間 (score=5)
- Beta: 資料缺失
- ROE: 24.06% => 高於參考值(20.00%)，值得肯定 (score=10)
- DividendYield: 3.84% => 在 200.00% ~ 600.00% 的合理範圍 (score=5)
- PEG: 資料缺失
- OperatingMargin: 21.49% => 在 10.00% ~ 30.00% 的合理範圍 (score=5)
- DebtToEquity: 38.02 => 明顯低於參考值(50)，對投資人相對有利 (score=10)
- CurrentRatio: 1.14 => 在 1 ~ 2 的合理範圍 (score=5)
- QuickRatio: 1.07 => 在 1 ~ 2 的合理範圍 (score=5)
- RevenueGrowth: 7.30% => 在 5.00% ~ 20.00% 的合理範圍 (score=5)
- EarningsGrowth: 50.80% => 高於參考值(20.00%)，值得肯定 (score=10)

【基本面評級】平均分數 7.0 → 等級 B
- RSI: 60.12（正常範圍） (score=7)
- MACD: 負值（賣出信號） (score=6)
- SMA50 > SMA200（黃金交叉，趨勢向上） (score=9)
- ADX: 27.48（趨勢中等） (score=6)
- 成交量趨勢: 減少中（趨勢可能弱化） (score=5)

【技術面評級】平均分數 6.6 → 等級 B",6.8,103,B
2883.TW,KGI FINANCIAL HOLDING CO LTD,54,6.75,B,34,6.8,B,"**[基本面分析] 2883.TW / KGI FINANCIAL HOLDING CO LTD**
- PE: 9.66 => 明顯低於參考值(10)，對投資人相對有利 (score=10)
- PB: 1.18 => 介於 1 ~ 5 的區間 (score=5)
- Beta: 0.68 => 明顯低於參考值(0.8)，對投資人相對有利 (score=10)
- ROE: 9.50% => 低於參考值(10.00%) (score=2)
- DividendYield: 2.91% => 在 200.00% ~ 600.00% 的合理範圍 (score=5)
- PEG: 資料缺失
- OperatingMargin: 97.00% => 高於參考值(30.00%)，值得肯定 (score=10)
- DebtToEquity: 資料缺失
- CurrentRatio: 資料缺失
- QuickRatio: 資料缺失
- RevenueGrowth: -31.40% => 低於參考值(5.00%) (score=2)
- EarningsGrowth: 31.60% => 高於參考值(20.00%)，值得肯定 (score=10)

【基本面評級】平均分數 6.8 → 等級 B
- RSI: 50.82（正常範圍） (score=7)
- MACD: 正值（買入信號） (score=8)
- SMA50 > SMA200（黃金交叉，趨勢向上） (score=9)
- ADX: 18.44（趨勢弱） (score=5)
- 成交量趨勢: 減少中（趨勢可能弱化） (score=5)

【技術面評級】平均分數 6.8 → 等級 B",6.775,88,B
3661.TW,ALCHIP TECHNOLOGIES LIMITD,73,6.636363636363637,B,33,6.6,B,"**[基本面分析] 3661.TW / ALCHIP TECHNOLOGIES LIMITD**
- PE: 44.22 => 高於參考值(25)，需留意高估風險 (score=2)
- PB: 7.09 => 高於參考值(5)，需留意高估風險 (score=2)
- Beta: 1.25 => 高於參考值(1.2)，需留意高估風險 (score=2)
- ROE: 21.68% => 高於參考值(20.00%)，值得肯定 (score=10)
- DividendYield: 0.72% => 低於參考值(200.00%) (score=2)
- PEG: 資料缺失
- OperatingMargin: 12.69% => 在 10.00% ~ 30.00% 的合理範圍 (score=5)
- DebtToEquity: 0.60 => 明顯低於參考值(50)，對投資人相對有利 (score=10)
- CurrentRatio: 3.44 => 高於參考值(2)，值得肯定 (score=10)
- QuickRatio: 2.32 => 高於參考值(2)，值得肯定 (score=10)
- RevenueGrowth: 94.80% => 高於參考值(20.00%)，值得肯定 (score=10)
- EarningsGrowth: 101.80% => 高於參考值(20.00%)，值得肯定 (score=10)

【基本面評級】平均分數 6.6 → 等級 B
- RSI: 56.55（正常範圍） (score=7)
- MACD: 負值（賣出信號） (score=6)
- SMA50 > SMA200（黃金交叉，趨勢向上） (score=9)
- ADX: 24.33（趨勢中等） (score=6)
- 成交量趨勢: 減少中（趨勢可能弱化） (score=5)

【技術面評級】平均分數 6.6 → 等級 B",6.618181818181818,106,B
6669.TW,WIWYNN CORPORATION,66,6.6,B,33,6.6,B,"**[基本面分析] 6669.TW / WIWYNN CORPORATION**
- PE: 21.24 => 介於 10 ~ 25 的區間 (score=5)
- PB: 5.16 => 高於參考值(5)，需留意高估風險 (score=2)
- Beta: 資料缺失
- ROE: 32.00% => 高於參考值(20.00%)，值得肯定 (score=10)
- DividendYield: 1.78% => 低於參考值(200.00%) (score=2)
- PEG: 資料缺失
- OperatingMargin: 8.08% => 低於參考值(10.00%) (score=2)
- DebtToEquity: 37.62 => 明顯低於參考值(50)，對投資人相對有利 (score=10)
- CurrentRatio: 2.34 => 高於參考值(2)，值得肯定 (score=10)
- QuickRatio: 1.30 => 在 1 ~ 2 的合理範圍 (score=5)
- RevenueGrowth: 85.20% => 高於參考值(20.00%)，值得肯定 (score=10)
- EarningsGrowth: 142.00% => 高於參考值(20.00%)，值得肯定 (score=10)

【基本面評級】平均分數 6.6 → 等級 B
- RSI: 37.84（正常範圍） (score=7)
- MACD: 負值（賣出信號） (score=6)
- SMA50 > SMA200（黃金交叉，趨勢向上） (score=9)
- ADX: 25.21（趨勢中等） (score=6)
- 成交量趨勢: 減少中（趨勢可能弱化） (score=5)

【技術面評級】平均分數 6.6 → 等級 B",6.6,99,B
2382.TW,QUANTA COMPUTER,66,6.0,B,35,7.0,B,"**[基本面分析] 2382.TW / QUANTA COMPUTER**
- PE: 19.31 => 介於 10 ~ 25 的區間 (score=5)
- PB: 5.58 => 高於參考值(5)，需留意高估風險 (score=2)
- Beta: 0.61 => 明顯低於參考值(0.8)，對投資人相對有利 (score=10)
- ROE: 27.95% => 高於參考值(20.00%)，值得肯定 (score=10)
- DividendYield: 2.86% => 在 200.00% ~ 600.00% 的合理範圍 (score=5)
- PEG: 資料缺失
- OperatingMargin: 4.91% => 低於參考值(10.00%) (score=2)
- DebtToEquity: 74.62 => 介於 50 ~ 100 的區間 (score=5)
- CurrentRatio: 1.23 => 在 1 ~ 2 的合理範圍 (score=5)
- QuickRatio: 0.81 => 低於參考值(1) (score=2)
- RevenueGrowth: 26.50% => 高於參考值(20.00%)，值得肯定 (score=10)
- EarningsGrowth: 49.40% => 高於參考值(20.00%)，值得肯定 (score=10)

【基本面評級】平均分數 6.0 → 等級 B
- RSI: 40.37（正常範圍） (score=7)
- MACD: 負值（賣出信號） (score=6)
- SMA50 > SMA200（黃金交叉，趨勢向上） (score=9)
- ADX: 24.56（趨勢中等） (score=6)
- 成交量趨勢: 增加中（趨勢確認） (score=7)

【技術面評級】平均分數 7.0 → 等級 B",6.5,101,B
2880.TW,HUA NAN FINANCIAL HOLDINGS CO,47,5.875,B,35,7.0,B,"**[基本面分析] 2880.TW / HUA NAN FINANCIAL HOLDINGS CO**
- PE: 17.18 => 介於 10 ~ 25 的區間 (score=5)
- PB: 1.86 => 介於 1 ~ 5 的區間 (score=5)
- Beta: 0.45 => 明顯低於參考值(0.8)，對投資人相對有利 (score=10)
- ROE: 11.19% => 在 10.00% ~ 20.00% 的合理範圍 (score=5)
- DividendYield: 4.59% => 在 200.00% ~ 600.00% 的合理範圍 (score=5)
- PEG: 資料缺失
- OperatingMargin: 46.64% => 高於參考值(30.00%)，值得肯定 (score=10)
- DebtToEquity: 資料缺失
- CurrentRatio: 資料缺失
- QuickRatio: 資料缺失
- RevenueGrowth: 8.90% => 在 5.00% ~ 20.00% 的合理範圍 (score=5)
- EarningsGrowth: 1.50% => 低於參考值(5.00%) (score=2)

【基本面評級】平均分數 5.9 → 等級 B
- RSI: 66.40（正常範圍） (score=7)
- MACD: 正值（買入信號） (score=8)
- SMA50 > SMA200（黃金交叉，趨勢向上） (score=9)
- ADX: 28.69（趨勢中等） (score=6)
- 成交量趨勢: 減少中（趨勢可能弱化） (score=5)

【技術面評級】平均分數 7.0 → 等級 B",6.4375,82,B
3653.TW,JENTECH PRECISION INDUSTRIAL CO,71,6.454545454545454,B,32,6.4,B,"**[基本面分析] 3653.TW / JENTECH PRECISION INDUSTRIAL CO**
- PE: 69.67 => 高於參考值(25)，需留意高估風險 (score=2)
- PB: 16.99 => 高於參考值(5)，需留意高估風險 (score=2)
- Beta: 0.41 => 明顯低於參考值(0.8)，對投資人相對有利 (score=10)
- ROE: 22.93% => 高於參考值(20.00%)，值得肯定 (score=10)
- DividendYield: 0.65% => 低於參考值(200.00%) (score=2)
- PEG: 資料缺失
- OperatingMargin: 27.98% => 在 10.00% ~ 30.00% 的合理範圍 (score=5)
- DebtToEquity: 6.86 => 明顯低於參考值(50)，對投資人相對有利 (score=10)
- CurrentRatio: 2.32 => 高於參考值(2)，值得肯定 (score=10)
- QuickRatio: 1.73 => 在 1 ~ 2 的合理範圍 (score=5)
- RevenueGrowth: 19.80% => 在 5.00% ~ 20.00% 的合理範圍 (score=5)
- EarningsGrowth: 49.30% => 高於參考值(20.00%)，值得肯定 (score=10)

【基本面評級】平均分數 6.5 → 等級 B
- RSI: 45.15（正常範圍） (score=7)
- MACD: 負值（賣出信號） (score=6)
- SMA50 > SMA200（黃金交叉，趨勢向上） (score=9)
- ADX: 14.20（趨勢弱） (score=5)
- 成交量趨勢: 減少中（趨勢可能弱化） (score=5)

【技術面評級】平均分數 6.4 → 等級 B",6.427272727272728,103,B
2454.TW,MEDIATEK INC,69,5.75,B,35,7.0,B,"**[基本面分析] 2454.TW / MEDIATEK INC**
- PE: 21.55 => 介於 10 ~ 25 的區間 (score=5)
- PB: 5.61 => 高於參考值(5)，需留意高估風險 (score=2)
- Beta: 1.21 => 高於參考值(1.2)，需留意高估風險 (score=2)
- ROE: 26.61% => 高於參考值(20.00%)，值得肯定 (score=10)
- DividendYield: 4.05% => 在 200.00% ~ 600.00% 的合理範圍 (score=5)
- PEG: 1.41 => 介於 1 ~ 2 的區間 (score=5)
- OperatingMargin: 18.10% => 在 10.00% ~ 30.00% 的合理範圍 (score=5)
- DebtToEquity: 4.52 => 明顯低於參考值(50)，對投資人相對有利 (score=10)
- CurrentRatio: 1.43 => 在 1 ~ 2 的合理範圍 (score=5)
- QuickRatio: 1.07 => 在 1 ~ 2 的合理範圍 (score=5)
- RevenueGrowth: 19.70% => 在 5.00% ~ 20.00% 的合理範圍 (score=5)
- EarningsGrowth: 37.20% => 高於參考值(20.00%)，值得肯定 (score=10)

【基本面評級】平均分數 5.8 → 等級 B
- RSI: 59.62（正常範圍） (score=7)
- MACD: 負值（賣出信號） (score=6)
- SMA50 > SMA200（黃金交叉，趨勢向上） (score=9)
- ADX: 26.10（趨勢中等） (score=6)
- 成交量趨勢: 增加中（趨勢確認） (score=7)

【技術面評級】平均分數 7.0 → 等級 B",6.375,104,B
